idProduit,nomProduit,categorieProduit,prix,poidsExpedition,venteAmazone
ce8029f5d8f4a4e0f99ae6187fae74b5,"Dr. Ph. Martin's Radiant Concentrated Water Color, 0.5 oz, Set of 14 (Set B)","Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Painting | Paint Finishes",38.27,1.68,1
021284dba32b82d207b35ed9fe16bff7,Ken Oliver KN06354 Caribbean Brights Color Burst Powder (6 Pack),"Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Painting | Paint Mediums & Additives",19.99,0.05,1
6ac74a25f73822338fac4e3fc255a12c,"Crayola Gel FX Washable Markers, 80 ct., 10 Each of 8 Different Colors","Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Painting | Paint Pens, Markers & Daubers | Pens & Markers",34.99,2.55,1
2f7f11ece2b252c82afc1e109ac80b72,"Loew-Cornell 842 25-Piece Foam Brush Set, 1-Inch","Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Painting | Paintbrushes | Foam Paintbrushes",6.41,0.3,1
dc811120b28251887517cf8ee347f10a,"Creativity Street Round Beginner Paint Brushes, 10 Pack (AC5137)","Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Painting | Paintbrushes | Paintbrush Sets",3.04,0.1,1
d2a4a399783ecd68f3358c63e71e3e06,"Creativity Street Starter Brush Assortment, 25 Pack (AC5180)","Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Painting | Paintbrushes | Paintbrush Sets",9.92,0.3,1
642da87f444d8feef937009c6623431d,"FolkArt Milk Paint Brush, 38999 2-Inch","Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Painting | Paintbrushes | Paintbrush Sets",6.46,0.2,1
56d2edf8d00728c61de6812c70160533,"Sargent Art 17-4700 Art-Time 16oz, 6 Colors Washable Fluorescent Tempera Paints, 6 Piece","Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Painting | Paints",8.29,7.4,1
07da941368ad8c670ffea1016c7b9c5b,"Handy Art Little Masters Washable Tempera Paint, Gallon, Orange","Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Painting | Paints",18.25,8.96,1
7c04d6627da64f5720f108cda62a0362,INOVART Presto Foam Printing Plates inches 12 inches,"Arts, Crafts & Sewing | Printmaking | Printing Presses & Accessories",24.06,2.15,1
a65b30d13c41a5d010242d057787bcb6,INOVART Presto Foam Econo Pak Printing Plates,"Arts, Crafts & Sewing | Printmaking | Printing Presses & Accessories",14.89,0.55,1
4bec24f5dc31f11e6ef5c762c23d5c49,Paper Magic Eureka Muppets Deco Trim Extra Wide Die Cut,"Arts, Crafts & Sewing | Scrapbooking & Stamping | Die-Cutting & Embossing | Die-Cuts",12.00,0.35,1
70119011f3d247a3a1ea306414216876,"Prima Marketing Inc. 655350912598 912598 Scrapbooking, Multi-Color","Arts, Crafts & Sewing | Scrapbooking & Stamping | Scrapbooking Tools",12.84,0.11,1
24d426843573b4922ae2f8792a35fa37,KidKraft Art Table with Drying Rack and Storage,"Arts, Crafts & Sewing | Sewing | Storage & Furniture",117.54,33.4,1
999829f079b1c0ede0eeb1470b018921,Application Misfits Crystal Lake Skull Patch,"Arts, Crafts & Sewing | Sewing | Trim & Embellishments | Appliques & Decorative Patches | Decorative Patches",7.80,0.02,1
83299df62915401d0e599c002afbcbbf,Application DC Comics Originals Super Friends Patch,"Arts, Crafts & Sewing | Sewing | Trim & Embellishments | Appliques & Decorative Patches | Decorative Patches",4.99,0.02,1
13b01d4558265461a513e83e10ed91ce,Application Dead Kennedys Icon Patch,"Arts, Crafts & Sewing | Sewing | Trim & Embellishments | Appliques & Decorative Patches | Decorative Patches",6.99,0.05,1
d42de53dbc276c9faafb38ede4ecd4b9,Application Generic Biohazard Patch,"Arts, Crafts & Sewing | Sewing | Trim & Embellishments | Appliques & Decorative Patches | Decorative Patches",7.99,0.05,1
69edb88c6c74c1333f905c9024b54da6,Application Sublime Weeping Sun Patch,"Arts, Crafts & Sewing | Sewing | Trim & Embellishments | Appliques & Decorative Patches | Decorative Patches",7.99,0.01,1
ff84dfc3dae577826fa36e2acebb4452,Application DC Comics Originals Superman Logo with Silver Glitter Patch,"Arts, Crafts & Sewing | Sewing | Trim & Embellishments | Appliques & Decorative Patches | Decorative Patches",5.15,0.02,1
39c8ef1a073b2ffa721a8e0267c322fd,Application Army Star Patch,"Arts, Crafts & Sewing | Sewing | Trim & Embellishments | Appliques & Decorative Patches | Decorative Patches",5.99,0.02,1
5101762cb3a98a732fe12fc4cc50f4be,Application Peace Sign Rainbow Pride Patch,"Arts, Crafts & Sewing | Sewing | Trim & Embellishments | Appliques & Decorative Patches | Decorative Patches",4.99,0.04,1
16420d05809f337927b0b00a6200bf9c,Application DC Comics Superman Fist Patch,"Arts, Crafts & Sewing | Sewing | Trim & Embellishments | Appliques & Decorative Patches | Decorative Patches",4.99,0.02,1
038949520ab6ab9c2cee7112d6f583f5,Application Aerosmith EST. 1970 Patch,"Arts, Crafts & Sewing | Sewing | Trim & Embellishments | Appliques & Decorative Patches | Decorative Patches",6.50,0.02,1
dcad81235bf8358ac96c1e0b5236b853,Sloth Animal Club Patch,"Arts, Crafts & Sewing | Sewing | Trim & Embellishments | Appliques & Decorative Patches | Decorative Patches",5.99,0.03,1
9482f6b633c90d7a9fb0e0273e9b1f8b,Application Grateful Dead Rose with Logo Patch,"Arts, Crafts & Sewing | Sewing | Trim & Embellishments | Appliques & Decorative Patches | Decorative Patches",6.99,0.02,1
fcd08b3b17d210dd3f9d34cbbd6bbb21,Application DC Comics Batman Robin Logo Patch,"Arts, Crafts & Sewing | Sewing | Trim & Embellishments | Appliques & Decorative Patches | Decorative Patches",4.66,0.02,1
a752340f65e857516d7ae90b1bbfdc15,Application DC Comics Originals Flash Logo Patch,"Arts, Crafts & Sewing | Sewing | Trim & Embellishments | Appliques & Decorative Patches | Decorative Patches",4.90,0.02,1
74ef211f22b8337a3bb0c44a0c9541d2,Little Foot TPT That Purple Thang-,"Arts, Crafts & Sewing | Sewing | Trim & Embellishments | Piping",5.33,0.05,1
58cfc5db54f6c77fcfb0c50c1b0f279b,"Creative Balloons Mfg Balloon Ribbon, 3/16 W x 500 yd Spools, Navy Blue, 5 Spool Value Pack","Arts, Crafts & Sewing | Sewing | Trim & Embellishments | Ribbons",22.52,1.35,1
b4d405dd62c397a61dc9762ff8cb8830,FanWraps Star Trek: The Next Generation Captain Jean-Luc Picard Passenger Series Window Decal,"Automotive | Exterior Accessories | Bumper Stickers, Decals & Magnets",19.74,0.2875,1
9e63657031884500b47a72b71ffde790,Star Wars Fanwraps The Force Awakens Passenger Series Kylo Ren Perforated Window Decal,"Automotive | Exterior Accessories | Bumper Stickers, Decals & Magnets",19.99,0.3,1
e5d3a26ad86fd906b3f4830bc0460f39,FanWraps The Force Awakens Kylo Ren & Stormtroopers Mini Decal,"Automotive | Exterior Accessories | Bumper Stickers, Decals & Magnets",6.87,0.05,1
51db76ac98b12e4324c0017b41f4f520,Great Eastern Entertainment Naruto Lee 3D SD Keychain,Automotive | Interior Accessories | Keychains,10.57,0.02,1
441891431276b27ec701d3a18d78e9b4,Great Eastern Entertainment Megaman X4 Repliforce Keychain,Automotive | Interior Accessories | Keychains,10.96,0.05,1
f230c2e7bc1297140ba1ecda93c928c4,Great Eastern Entertainment Naruto Shippuden Froggy Keycap,Automotive | Interior Accessories | Keychains,18.76,0.04,1
7141b78319a915a89d767613d6fc49f3,"Rage RC C6033 Steering Hub Braces, Left/Right, for RZX",Automotive | Replacement Parts,8.13,0.02,1
904099930f47968d4851a3001c5c392b,JunFac 42223 Axle Mounts 2 for Tamiya High-Lift Axles,"Automotive | Replacement Parts | Shocks, Struts & Suspension | Chassis",21.22,0.06,1
fbda08c2b5ac9f71f04a2f0c77ed2956,HPI Racing 85632 Servo Mount and High Link Bracket Set Wheely King,Automotive | Replacement Parts | Starters & Alternators | Alternators & Generators | Brackets,13.83,0.21,1
cc0b6b87ca28938bde54155b118de27a,SCHLEICH Farm World Playmat,Baby Products | Activity & Entertainment,29.99,3.4,1
ab09bf8e3598c06a552b2c531e849414,"Play with Pieces, Reversible Play Mat, Moroccan Rug Plus Polka Dot",Baby Products | Activity & Entertainment | Baby Gyms & Playmats,149.00,8.4,1
17613b9ed88977175dae7a56ac633aa2,Happy Trails Zebra Plush Rocking Animal,"Baby Products | Activity & Entertainment | Bouncers, Jumpers & Swings",47.99,8.05,1
6936d9bfeb6da7504d0b67dace2ce8c6,Happy Trails Cow Plush Rocking Animal,"Baby Products | Activity & Entertainment | Bouncers, Jumpers & Swings",41.99,10.9,1
316340ea2b9973f8932e4e07f61a31ec,Little Bird Told Me Florence & Floop Rocking Horse Stuffed Animal Ride On,"Baby Products | Activity & Entertainment | Bouncers, Jumpers & Swings | Bouncers",131.90,12.87,1
383297509b5fcfcea75b391bc0e8eddc,"Bright Starts 3 Ways to Play Walker - Ford Mustang, Ages 6 Months +, Red",Baby Products | Activity & Entertainment | Walkers,79.00,18.0,1
eed8e701d7a3ac28f12978681e88337e,Dream On Me Tiny Toes Walker in Pink,Baby Products | Activity & Entertainment | Walkers,39.99,11.6,1
001bd04642c7cb9f5c888fe8a993987b,Dream On Me Tiny Toes Walker in Beige,Baby Products | Activity & Entertainment | Walkers,42.99,11.6,1
